samples	symbol	Mutation	CNA Status	Expression
TCGA-02-0047	IDH1	-	-	0.006
TCGA-02-0047	IDH2	-	-	-0.118
TCGA-02-0047	IRS2	-	-	1.735
TCGA-02-0047	KDM5C	-	-	-0.673
TCGA-02-0047	KEAP1	-	-	-0.146
TCGA-02-0047	KIFC3	-	-	0.611
TCGA-02-0047	KIT	-	-	0.01
TCGA-02-0047	KRAS	-	-	-0.17
TCGA-02-0047	LEPR	1	-	-0.245
TCGA-02-0047	LIFR	-	-	3.101
TCGA-02-0047	LPP	-	-	-0.609
TCGA-02-0047	LUM	-	-	-0.31
TCGA-02-0047	LZTR1	-	-	0.259
TCGA-02-0047	MALAT1	-	-	-0.015
TCGA-02-0047	MAP2K4	-	-	0.61
TCGA-02-0047	MAP3K3	-	-	0.099
TCGA-02-0047	MAPK8IP1	-	-	2.839
TCGA-02-0047	MATK	-	-	-0.096
TCGA-02-0047	MDM2	-	-	-0.085
TCGA-02-0047	MDM4	-	-	-0.003
TCGA-02-0047	METTL14	-	-	-0.427
TCGA-02-0047	MN1	-	-	0.414
TCGA-02-0047	MTOR	-	-	0.035
TCGA-02-0047	NAV3	-	-	0.755
TCGA-02-0047	NBPF10	0	-	-0.078
TCGA-02-0047	NCOA4	-	-	-0.097
TCGA-02-0047	NF1	-	-	0.8
TCGA-02-0047	NFE2L2	-	-	-0.119
TCGA-02-0047	NLRP3	-	-	0.502
TCGA-02-0047	NOTCH1	-	-	0.777
TCGA-02-0047	NR4A2	-	-	-0.193
TCGA-02-0047	PCBP1	-	-	-1.156
TCGA-02-0047	PDGFRA	0	-	1.226
TCGA-02-0047	PIK3CA	1	-	0.064
TCGA-02-0047	PIK3CG	-	-	0.209
TCGA-02-0047	PIK3R1	-	-	1.058
TCGA-02-0047	PIP5K1A	-	-	-0.681
TCGA-02-0047	PLCG1	-	-	0.83
TCGA-02-0047	PPP2R1A	-	-	0.588
TCGA-02-0047	PTEN	-	-	0.171
TCGA-02-0047	RAC1	-	-	0.135
TCGA-02-0047	RANBP2	-	-	-0.387
TCGA-02-0047	RANBP3	-	-	0.591
TCGA-02-0047	RB1	-	-	1.274
TCGA-02-0047	RBMX	-	-	-0.732
TCGA-02-0047	RHEB	-	-	-0.408
TCGA-02-0047	RHOA	-	-	0.849
TCGA-02-0047	RPL5	1	-	-1.02
TCGA-02-0047	RPSAP58	-	-	-0.189
TCGA-02-0047	RUNX1	-	-	-0.286
TCGA-02-0047	RXRA	-	-	-0.174
TCGA-02-0047	SMAD2	-	-	-0.257
TCGA-02-0047	SMC1A	-	-	-0.444
TCGA-02-0047	SPATA6	-	-	2.617
TCGA-02-0047	SPEN	-	-	0.006
TCGA-02-0047	SPOP	-	-	0.662
TCGA-02-0047	STAG2	-	-	-0.095
TCGA-02-0047	STK11	-	-	-0.184
TCGA-02-0047	SYNE1	-	-	1.776
TCGA-02-0047	TBL1XR1	-	-	-0.481
TCGA-02-0047	TBX3	-	-	-0.028
TCGA-02-0047	TCF12	-	-	3.069
TCGA-02-0047	TCF7	-	-	-0.005
TCGA-02-0047	TET2	-	-	0.089
TCGA-02-0047	TFDP1	-	-	-0.231
TCGA-02-0047	TGFBR2	-	-	-0.163
TCGA-02-0047	TGIF1	-	-	-1.206
TCGA-02-0047	TJP2	-	-	1.595
TCGA-02-0047	TNFRSF10C	-	-	-0.169
TCGA-02-0047	TOM1	-	-	-0
TCGA-02-0047	TP53	-	-	0.136
TCGA-02-0047	U2AF1	-	-	-0.564
TCGA-02-0047	WT1	-	-	-0.01
TCGA-02-0047	ZFP36L1	-	-	-0.105
TCGA-02-0047	ZFP36L2	-	-	-0.153
TCGA-02-0047	ZNF132	-	-	1.134
TCGA-02-0047	ZNF300	-	-	1.163
TCGA-02-0047	ZNF814	1	-	0.052
TCGA-02-0047	ZNF844	-	-	0.326
TCGA-02-0055	ABCB1	-	-	0.225
TCGA-02-0055	ACVR1B	-	-	-0.979
TCGA-02-0055	ADCY1	-	-	0.355
TCGA-02-0055	ADORA2A	-	-	-0.201
TCGA-02-0055	AHNAK2	-	-	-0.083
TCGA-02-0055	AKAP9	-	-	-0.256
TCGA-02-0055	AKD1	-	-	-0.186
TCGA-02-0055	AKT1	-	-	-0.532
TCGA-02-0055	AMPH	-	-	1.617
TCGA-02-0055	APAF1	-	-	-0.2
TCGA-02-0055	BCOR	-	-	-0.856
TCGA-02-0055	BRAF	-	-	-0.247
TCGA-02-0055	BRCA1	-	-	-0.555
TCGA-02-0055	BRCA2	-	-	-0.208
TCGA-02-0055	CAD	-	-	-0.609
TCGA-02-0055	CASP8	-	-	-0.844
TCGA-02-0055	CAST	-	-	0.337
TCGA-02-0055	CBFB	-	-	1.002
TCGA-02-0055	CCND1	-	-	-0.278
TCGA-02-0055	CDKN2A	-	-	1.772
TCGA-02-0055	CDKN2C	-	-	1.279
TCGA-02-0055	CEBPA	-	-	-0.248
TCGA-02-0055	CENPF	1	-	-0.559
TCGA-02-0055	CFH	-	-	0.728
TCGA-02-0055	CHD4	-	-	-1.151
TCGA-02-0055	CHD8	-	-	-1.263
TCGA-02-0055	CREM	-	-	4.96
TCGA-02-0055	CRTC3	-	-	-0.12
TCGA-02-0055	CTCF	-	-	-1.539
TCGA-02-0055	CUL1	-	-	0.503
TCGA-02-0055	DHX9	-	-	-1.029
TCGA-02-0055	DICER1	-	-	-0.661
TCGA-02-0055	DMD	-	-	1.002
TCGA-02-0055	DNMT3A	-	-	-0.627
TCGA-02-0055	EGFR	-	-	-0.048
TCGA-02-0055	EIF4A2	-	-	0.279
TCGA-02-0055	ELF3	-	-	-0.724
TCGA-02-0055	ERCC2	-	-	-0.42
TCGA-02-0055	EWSR1	-	-	-0.54
TCGA-02-0055	EZH2	-	-	-0.226
TCGA-02-0055	FANCA	-	-	-0.363
TCGA-02-0055	FBN2	-	-	0.082
TCGA-02-0055	FBXO11	-	-	-0.583
TCGA-02-0055	FES	-	-	0.904
TCGA-02-0055	FGFR3	-	-	-0.091
TCGA-02-0055	FLT3	-	-	-0.003
TCGA-02-0055	FOXA2	-	-	-0
TCGA-02-0055	FRG1B	-	-	-0.407
TCGA-02-0055	GATA3	-	-	0.056
TCGA-02-0055	GNAI1	-	-	0.299
TCGA-02-0055	GNAS	-	-	0.103
TCGA-02-0055	GOLGA5	-	-	-0.267
TCGA-02-0055	GOT2	-	-	-0.589
TCGA-02-0055	GPHN	-	-	-0.185
TCGA-02-0055	GPS2	-	-	-0.012
TCGA-02-0055	H3F3C	-	-	-0.405
TCGA-02-0055	HGF	-	-	0.271
TCGA-02-0055	HLA-A	-	-	0.83
TCGA-02-0055	HMGXB4	-	-	0.429
TCGA-02-0055	HRAS	-	-	0.375
TCGA-02-0055	HSPA8	-	-	0.795
TCGA-02-0055	HUWE1	-	-	-0.84
TCGA-02-0055	IDH1	-	-	0.215
TCGA-02-0055	IDH2	-	-	-0.525
TCGA-02-0055	IRS2	-	-	2.096
TCGA-02-0055	KDM5C	-	-	0.294
TCGA-02-0055	KEAP1	-	-	-0.164
TCGA-02-0055	KIFC3	-	-	0.584
TCGA-02-0055	KIT	-	-	-0.081
TCGA-02-0055	KRAS	-	-	-0.25
TCGA-02-0055	LEPR	-	-	0.689
TCGA-02-0055	LIFR	-	-	0.203
TCGA-02-0055	LPP	-	-	-0.595
TCGA-02-0055	LUM	-	-	1.191
TCGA-02-0055	LZTR1	-	-	0.604
TCGA-02-0055	MALAT1	-	-	-0.019
TCGA-02-0055	MAP2K4	-	-	0.154
TCGA-02-0055	MAP3K3	-	-	0.248
TCGA-02-0055	MAPK8IP1	-	-	0.423
TCGA-02-0055	MATK	-	-	0.173
TCGA-02-0055	MDM2	-	-	-0.163
TCGA-02-0055	MDM4	-	-	-0.1
TCGA-02-0055	METTL14	-	-	-0.447
TCGA-02-0055	MN1	-	-	-0.109
TCGA-02-0055	MTOR	-	-	-0.671
TCGA-02-0055	NAV3	-	-	0.197
TCGA-02-0055	NBPF10	-	-	-0.212
TCGA-02-0055	NCOA4	-	-	-0.535
TCGA-02-0055	NF1	-	-	-1.237
TCGA-02-0055	NFE2L2	-	-	0.27
TCGA-02-0055	NLRP3	-	-	0.604
TCGA-02-0055	NOTCH1	-	-	-0.532
TCGA-02-0055	NR4A2	-	-	1.01
TCGA-02-0055	PCBP1	-	-	-0.158
TCGA-02-0055	PDGFRA	-	-	0.766
TCGA-02-0055	PIK3CA	-	-	0.241
TCGA-02-0055	PIK3CG	-	-	0.18
TCGA-02-0055	PIK3R1	-	-	-0.015
TCGA-02-0055	PIP5K1A	-	-	0.234
TCGA-02-0055	PLCG1	-	-	0.12
TCGA-02-0055	PPP2R1A	-	-	-0.032
TCGA-02-0055	PTEN	1	-	-0.167
TCGA-02-0055	RAC1	-	-	0.224
TCGA-02-0055	RANBP2	-	-	-0.443
TCGA-02-0055	RANBP3	-	-	-0.095
TCGA-02-0055	RB1	-	-	-0.281
TCGA-02-0055	RBMX	-	-	-0.799
TCGA-02-0055	RHEB	-	-	0.954
TCGA-02-0055	RHOA	-	-	1.602
TCGA-02-0055	RPL5	-	-	0.849
TCGA-02-0055	RPSAP58	-	-	0.805
TCGA-02-0055	RUNX1	-	-	0.193
TCGA-02-0055	RXRA	-	-	-0.51
TCGA-02-0055	SMAD2	-	-	0.419
TCGA-02-0055	SMC1A	-	-	-0.613
TCGA-02-0055	SPATA6	-	-	0.458
TCGA-02-0055	SPEN	-	-	-0.549
TCGA-02-0055	SPOP	-	-	0.157
TCGA-02-0055	STAG2	-	-	-0.607
TCGA-02-0055	STK11	-	-	-0.264
TCGA-02-0055	SYNE1	-	-	0.247
TCGA-02-0055	TBL1XR1	-	-	-0.586
TCGA-02-0055	TBX3	-	-	-0.131
TCGA-02-0055	TCF12	-	-	0.601
TCGA-02-0055	TCF7	-	-	-0.13
TCGA-02-0055	TET2	-	-	0.004
TCGA-02-0055	TFDP1	-	-	-0.217
TCGA-02-0055	TGFBR2	-	-	0.431
TCGA-02-0055	TGIF1	-	-	0.554
TCGA-02-0055	TJP2	-	-	-1.342
TCGA-02-0055	TNFRSF10C	-	-	0.245
TCGA-02-0055	TOM1	-	-	0.96
TCGA-02-0055	TP53	1	-	-0.484
TCGA-02-0055	U2AF1	-	-	0.872
TCGA-02-0055	WT1	-	-	0.027
TCGA-02-0055	ZFP36L1	-	-	0.93
TCGA-02-0055	ZFP36L2	-	-	0.355
TCGA-02-0055	ZNF132	-	-	0.662
TCGA-02-0055	ZNF300	-	-	0.87
TCGA-02-0055	ZNF814	-	-	-0.082
TCGA-02-0055	ZNF844	-	-	-0.289
TCGA-02-2485	ABCB1	-	-	0.927
TCGA-02-2485	ACVR1B	-	-	-0.694
TCGA-02-2485	ADCY1	-	-	-0.02
TCGA-02-2485	ADORA2A	-	-	-0.043
TCGA-02-2485	AHNAK2	-	-	-0.184
TCGA-02-2485	AKAP9	-	-	-0.376
TCGA-02-2485	AKD1	-	-	0.146
TCGA-02-2485	AKT1	-	-	0.154
TCGA-02-2485	AMPH	-	-	1.596
TCGA-02-2485	APAF1	-	-	-0.098
TCGA-02-2485	BCOR	-	-	-0.398
TCGA-02-2485	BRAF	-	-	-0.612
TCGA-02-2485	BRCA1	-	-	0.248
TCGA-02-2485	BRCA2	-	-	0.248
TCGA-02-2485	CAD	-	-	-0.026
TCGA-02-2485	CASP8	-	-	-1.218
TCGA-02-2485	CAST	-	-	-0.813
TCGA-02-2485	CBFB	-	-	0.19
TCGA-02-2485	CCND1	-	-	-0.231
TCGA-02-2485	CDKN2A	-	-	1.201
TCGA-02-2485	CDKN2C	-	-	2.627
TCGA-02-2485	CEBPA	-	-	-0.078
TCGA-02-2485	CENPF	-	-	-0.172
TCGA-02-2485	CFH	-	-	-0.339
TCGA-02-2485	CHD4	-	-	-0.674
TCGA-02-2485	CHD8	-	-	0.083
TCGA-02-2485	CREM	-	-	0.599
TCGA-02-2485	CRTC3	-	-	-0.235
TCGA-02-2485	CTCF	-	-	0.961
TCGA-02-2485	CUL1	-	-	0.349
TCGA-02-2485	DHX9	-	-	1.848
TCGA-02-2485	DICER1	-	-	-0.617
TCGA-02-2485	DMD	-	-	0.574
TCGA-02-2485	DNMT3A	-	-	-0.069
TCGA-02-2485	EGFR	1	2	3.9
TCGA-02-2485	EIF4A2	-	-	-0.443
TCGA-02-2485	ELF3	-	-	-0.728
TCGA-02-2485	ERCC2	-	-	1.715
TCGA-02-2485	EWSR1	-	-	0.697
TCGA-02-2485	EZH2	-	-	1.804
TCGA-02-2485	FANCA	-	-	0.309
TCGA-02-2485	FBN2	-	-	0.182
TCGA-02-2485	FBXO11	-	-	1.125
TCGA-02-2485	FES	-	-	-0.235
TCGA-02-2485	FGFR3	-	-	1.468
TCGA-02-2485	FLT3	-	-	-0.006
TCGA-02-2485	FOXA2	-	-	0.196
TCGA-02-2485	FRG1B	-	-	-0.794
TCGA-02-2485	GATA3	-	-	-0.013
TCGA-02-2485	GNAI1	-	-	-0.484
TCGA-02-2485	GNAS	-	-	2.399
TCGA-02-2485	GOLGA5	-	-	-0.417
TCGA-02-2485	GOT2	-	-	0.018
TCGA-02-2485	GPHN	-	-	2.41
TCGA-02-2485	GPS2	-	-	1.125
TCGA-02-2485	H3F3C	-	-	-0.357
TCGA-02-2485	HGF	-	-	0.099
TCGA-02-2485	HLA-A	-	-	-0.433
TCGA-02-2485	HMGXB4	-	-	0.166
TCGA-02-2485	HRAS	-	-	0.265
TCGA-02-2485	HSPA8	-	-	0.72
TCGA-02-2485	HUWE1	-	-	-1.133
TCGA-02-2485	IDH1	-	-	-0.229
TCGA-02-2485	IDH2	-	-	-0.093
TCGA-02-2485	IRS2	-	-	1.593
TCGA-02-2485	KDM5C	-	-	-1.012
TCGA-02-2485	KEAP1	-	-	0.808
TCGA-02-2485	KIFC3	-	-	-0.064
TCGA-02-2485	KIT	0	2	1.897
TCGA-02-2485	KRAS	-	-	-0.149
TCGA-02-2485	LEPR	-	-	0.298
TCGA-02-2485	LIFR	-	-	2.936
TCGA-02-2485	LPP	-	-	-0.983
TCGA-02-2485	LUM	-	-	-0.308
TCGA-02-2485	LZTR1	-	-	0.443
TCGA-02-2485	MALAT1	-	-	-0.005
TCGA-02-2485	MAP2K4	-	-	0.141
TCGA-02-2485	MAP3K3	-	-	-0.677
TCGA-02-2485	MAPK8IP1	-	-	6.102
TCGA-02-2485	MATK	-	-	-0.178
TCGA-02-2485	MDM2	-	-	-0.166
TCGA-02-2485	MDM4	-	-	0.199
TCGA-02-2485	METTL14	-	-	-0.544
TCGA-02-2485	MN1	-	-	0.147
TCGA-02-2485	MTOR	-	-	0.207
TCGA-02-2485	NAV3	-	-	0.641
TCGA-02-2485	NBPF10	-	-	-0.168
TCGA-02-2485	NCOA4	-	-	-0.694
TCGA-02-2485	NF1	-	-	-0.109
TCGA-02-2485	NFE2L2	-	-	0.089
TCGA-02-2485	NLRP3	-	-	0.054
TCGA-02-2485	NOTCH1	-	-	1.342
TCGA-02-2485	NR4A2	-	-	1.291
TCGA-02-2485	PCBP1	-	-	-1.125
TCGA-02-2485	PDGFRA	0	2	3.972
TCGA-02-2485	PIK3CA	1	-	-0.258
TCGA-02-2485	PIK3CG	-	-	-0.125
TCGA-02-2485	PIK3R1	-	-	2.323
TCGA-02-2485	PIP5K1A	-	-	0.147
TCGA-02-2485	PLCG1	-	-	1.772
TCGA-02-2485	PPP2R1A	-	-	1.29
TCGA-02-2485	PTEN	-	-	-0.942
TCGA-02-2485	RAC1	-	-	0.097
TCGA-02-2485	RANBP2	-	-	-0.747
TCGA-02-2485	RANBP3	-	-	1.897
TCGA-02-2485	RB1	-	-	0.293
TCGA-02-2485	RBMX	-	-	1.753
TCGA-02-2485	RHEB	-	-	0.883
TCGA-02-2485	RHOA	-	-	0.551
TCGA-02-2485	RPL5	-	-	-0.6
TCGA-02-2485	RPSAP58	-	-	0.084
TCGA-02-2485	RUNX1	-	-	-0.343
TCGA-02-2485	RXRA	-	-	-0.531
TCGA-02-2485	SMAD2	-	-	-0.255
TCGA-02-2485	SMC1A	-	-	-0.292
TCGA-02-2485	SPATA6	-	-	0.813
TCGA-02-2485	SPEN	-	-	-0.022
TCGA-02-2485	SPOP	-	-	1.587
TCGA-02-2485	STAG2	-	-	0.643
TCGA-02-2485	STK11	-	-	0.646
TCGA-02-2485	SYNE1	-	-	0.373
TCGA-02-2485	TBL1XR1	-	-	-0.525
TCGA-02-2485	TBX3	-	-	-0.088
TCGA-02-2485	TCF12	-	-	7.211
TCGA-02-2485	TCF7	-	-	-0.256
TCGA-02-2485	TET2	-	-	-0.141
TCGA-02-2485	TFDP1	-	-	0.077
TCGA-02-2485	TGFBR2	-	-	-0.47
TCGA-02-2485	TGIF1	-	-	0.414
TCGA-02-2485	TJP2	-	-	0.11
TCGA-02-2485	TNFRSF10C	-	-	-0.229
TCGA-02-2485	TOM1	-	-	-0.384
TCGA-02-2485	TP53	1	-	0.767
TCGA-02-2485	U2AF1	-	-	0.475
TCGA-02-2485	WT1	-	-	-0.01
TCGA-02-2485	ZFP36L1	-	-	0.64
TCGA-02-2485	ZFP36L2	-	-	1.324
TCGA-02-2485	ZNF132	-	-	0.47
TCGA-02-2485	ZNF300	-	-	2.814
TCGA-02-2485	ZNF814	-	-	0.922
TCGA-02-2485	ZNF844	-	-	0.61
TCGA-06-0132	ABCB1	-	-	0.563
TCGA-06-0132	ACVR1B	-	-	-0.261
TCGA-06-0132	ADCY1	-	-	0.782
TCGA-06-0132	ADORA2A	-	-	-0.048
TCGA-06-0132	AHNAK2	-	-	-0.158
TCGA-06-0132	AKAP9	-	-	-0.513
TCGA-06-0132	AKD1	-	-	0.073
TCGA-06-0132	AKT1	-	-	-0.463
TCGA-06-0132	AMPH	-	-	7.572
TCGA-06-0132	APAF1	-	-	0.031
TCGA-06-0132	BCOR	-	-	-1.149
TCGA-06-0132	BRAF	-	-	-0.812
TCGA-06-0132	BRCA1	-	-	-0.693
TCGA-06-0132	BRCA2	-	-	-0.43
TCGA-06-0132	CAD	-	-	-0.846
TCGA-06-0132	CASP8	-	-	-0.996
TCGA-06-0132	CAST	-	-	-0.887
TCGA-06-0132	CBFB	-	-	-0.245
TCGA-06-0132	CCND1	-	-	-0.311
TCGA-06-0132	CDKN2A	-	-	-0.051
TCGA-06-0132	CDKN2C	-	-	0.668
TCGA-06-0132	CEBPA	-	-	1.401
TCGA-06-0132	CENPF	-	-	-0.793
TCGA-06-0132	CFH	-	-	-0.045
TCGA-06-0132	CHD4	-	-	-1.421
TCGA-06-0132	CHD8	-	-	-1.071
TCGA-06-0132	CREM	-	-	1.905
TCGA-06-0132	CRTC3	-	-	0.24
TCGA-06-0132	CTCF	-	-	-1.413
TCGA-06-0132	CUL1	-	-	-0.114
TCGA-06-0132	DHX9	-	-	-1.464
TCGA-06-0132	DICER1	-	-	-0.134
TCGA-06-0132	DMD	-	-	0.738
TCGA-06-0132	DNMT3A	-	-	-0.768
TCGA-06-0132	EGFR	0	2	1.228
TCGA-06-0132	EIF4A2	-	-	1.271
TCGA-06-0132	ELF3	-	-	-0.726
TCGA-06-0132	ERCC2	-	-	0.092
TCGA-06-0132	EWSR1	-	-	-1.339
TCGA-06-0132	EZH2	-	-	-0.809
TCGA-06-0132	FANCA	-	-	-0.666
TCGA-06-0132	FBN2	-	-	-0.044
TCGA-06-0132	FBXO11	-	-	0.147
TCGA-06-0132	FES	-	-	0.222
TCGA-06-0132	FGFR3	-	-	0.268
TCGA-06-0132	FLT3	-	-	0.004
TCGA-06-0132	FOXA2	-	-	-0.008
TCGA-06-0132	FRG1B	-	-	-0.511
TCGA-06-0132	GATA3	-	-	-0.013
TCGA-06-0132	GNAI1	-	-	1.78
TCGA-06-0132	GNAS	-	-	0.422
TCGA-06-0132	GOLGA5	-	-	-0.844
TCGA-06-0132	GOT2	-	-	0.714
TCGA-06-0132	GPHN	-	-	1.294
TCGA-06-0132	GPS2	-	-	0.276
TCGA-06-0132	H3F3C	-	-	-0.447
TCGA-06-0132	HGF	-	-	0.017
TCGA-06-0132	HLA-A	-	-	0.146
TCGA-06-0132	HMGXB4	-	-	-1.086
TCGA-06-0132	HRAS	-	-	0.37
TCGA-06-0132	HSPA8	-	-	0.986
TCGA-06-0132	HUWE1	-	-	-0.88
TCGA-06-0132	IDH1	-	-	0.448
TCGA-06-0132	IDH2	-	-	-0.281
TCGA-06-0132	IRS2	-	-	0.723
TCGA-06-0132	KDM5C	-	-	-1.276
TCGA-06-0132	KEAP1	-	-	-0.057
TCGA-06-0132	KIFC3	-	-	0.381
TCGA-06-0132	KIT	-	-	0.097
TCGA-06-0132	KRAS	-	-	-0.058
TCGA-06-0132	LEPR	-	-	0.058
TCGA-06-0132	LIFR	-	-	1.464
TCGA-06-0132	LPP	-	-	-0.948
TCGA-06-0132	LUM	-	-	-0.218
TCGA-06-0132	LZTR1	-	-	-0.436
TCGA-06-0132	MALAT1	-	-	-0.03
TCGA-06-0132	MAP2K4	-	-	2.184
TCGA-06-0132	MAP3K3	-	-	-0.238
TCGA-06-0132	MAPK8IP1	-	-	5.18
TCGA-06-0132	MATK	-	-	1.061
TCGA-06-0132	MDM2	-	-	0.009
TCGA-06-0132	MDM4	-	-	-0.174
TCGA-06-0132	METTL14	-	-	-0.804
TCGA-06-0132	MN1	-	-	0.024
TCGA-06-0132	MTOR	-	-	-0.628
TCGA-06-0132	NAV3	-	-	1.456
TCGA-06-0132	NBPF10	-	-	-0.27
TCGA-06-0132	NCOA4	-	-	0.166
TCGA-06-0132	NF1	-	-	-0.415
TCGA-06-0132	NFE2L2	-	-	0.101
TCGA-06-0132	NLRP3	-	-	0.623
TCGA-06-0132	NOTCH1	-	-	-0.35
TCGA-06-0132	NR4A2	-	-	-0.226
TCGA-06-0132	PCBP1	-	-	-0.776
TCGA-06-0132	PDGFRA	-	-	0.068
TCGA-06-0132	PIK3CA	-	-	-0.398
TCGA-06-0132	PIK3CG	-	-	0.048
TCGA-06-0132	PIK3R1	-	-	0.896
TCGA-06-0132	PIP5K1A	-	-	-0.592
TCGA-06-0132	PLCG1	-	-	-0.06
TCGA-06-0132	PPP2R1A	-	-	0.14
TCGA-06-0132	PTEN	-	-	-0.502
TCGA-06-0132	RAC1	-	-	1.571
TCGA-06-0132	RANBP2	-	-	-0.883
TCGA-06-0132	RANBP3	-	-	0.326
TCGA-06-0132	RB1	-	-	1.648
TCGA-06-0132	RBMX	-	-	-1.572
TCGA-06-0132	RHEB	-	-	0.843
TCGA-06-0132	RHOA	-	-	1.139
TCGA-06-0132	RPL5	-	-	-0.432
TCGA-06-0132	RPSAP58	-	-	0.244
TCGA-06-0132	RUNX1	-	-	-0.391
TCGA-06-0132	RXRA	-	-	-0.391
TCGA-06-0132	SMAD2	-	-	-0.258
TCGA-06-0132	SMC1A	-	-	-1.076
TCGA-06-0132	SPATA6	-	-	1.823
TCGA-06-0132	SPEN	-	-	-0.641
TCGA-06-0132	SPOP	-	-	0.167
TCGA-06-0132	STAG2	-	-	-0.539
TCGA-06-0132	STK11	-	-	-0.408
TCGA-06-0132	SYNE1	-	-	0.118
TCGA-06-0132	TBL1XR1	-	-	-0.471
TCGA-06-0132	TBX3	-	-	-0.144
TCGA-06-0132	TCF12	-	-	1.082
TCGA-06-0132	TCF7	-	-	-0.215
TCGA-06-0132	TET2	-	-	-0.33
TCGA-06-0132	TFDP1	-	-	-0.464
TCGA-06-0132	TGFBR2	-	-	0.095
TCGA-06-0132	TGIF1	-	-	-1.024
TCGA-06-0132	TJP2	-	-	-0.482
TCGA-06-0132	TNFRSF10C	-	-	0.231
TCGA-06-0132	TOM1	-	-	0.079
TCGA-06-0132	TP53	-	-	-0.521
TCGA-06-0132	U2AF1	-	-	-0.7
TCGA-06-0132	WT1	-	-	-0.007
TCGA-06-0132	ZFP36L1	-	-	-0.329
TCGA-06-0132	ZFP36L2	-	-	-0.124
TCGA-06-0132	ZNF132	-	-	1.298
TCGA-06-0132	ZNF300	-	-	0.009
TCGA-06-0132	ZNF814	-	-	-0.342
TCGA-06-0132	ZNF844	-	-	-0.086
TCGA-06-0138	ABCB1	-	-	0.373
TCGA-06-0138	ACVR1B	-	-	-0.423
TCGA-06-0138	ADCY1	-	-	0.371
TCGA-06-0138	ADORA2A	-	-	-0.064
TCGA-06-0138	AHNAK2	-	-	-0.178
TCGA-06-0138	AKAP9	-	-	-0.538
TCGA-06-0138	AKD1	-	-	1.011
TCGA-06-0138	AKT1	-	-	-0.768
TCGA-06-0138	AMPH	-	-	2.828
TCGA-06-0138	APAF1	-	-	-0.027
TCGA-06-0138	BCOR	-	-	-1.252
TCGA-06-0138	BRAF	-	-	-0.99
TCGA-06-0138	BRCA1	-	-	-0.173
TCGA-06-0138	BRCA2	-	-	-0.252
